,Date,Ticker,Operation,Open price,Z-Score,Commissions,Shares,Close price,P/L
56,2018-07-31,NASDAQ:LSCC,Buy,7.7,-3.234,12.85,2570,0.0,0.0
57,2018-07-31,NASDAQ:MEDP,Sell,61.36,-3.234,1.61,322,0.0,0.0
58,2018-08-21,NASDAQ:LSCC,Timeout,7.7,-0.306,12.85,2570,7.58,-282.7
59,2018-08-21,NASDAQ:MEDP,Timeout,61.36,-0.306,1.61,322,57.09,1378.16
60,2018-08-28,NASDAQ:LSCC,Sell,8.01,2.286,13.0,2600,0.0,0.0
61,2018-08-28,NASDAQ:MEDP,Buy,56.87,2.286,1.83,366,0.0,0.0
62,2018-09-04,NASDAQ:LSCC,Close,8.01,-0.18,13.0,2600,8.25,-598.0
63,2018-09-04,NASDAQ:MEDP,Close,56.87,-0.18,1.83,366,61.31,1628.7
64,2018-09-10,NASDAQ:LSCC,Buy,7.75,-3.522,14.08,2816,0.0,0.0
65,2018-09-10,NASDAQ:MEDP,Sell,61.55,-3.522,1.77,354,0.0,0.0
66,2018-09-19,NASDAQ:LSCC,Close,7.75,0.004,14.08,2816,7.55,-563.2
67,2018-09-19,NASDAQ:MEDP,Close,61.55,0.004,1.77,354,57.7,1366.44
68,2018-10-04,NASDAQ:LSCC,Sell,8.56,2.687,13.2,2640,0.0,0.0
69,2018-10-04,NASDAQ:MEDP,Buy,57.87,2.687,1.95,390,0.0,0.0
70,2018-10-25,NASDAQ:LSCC,Close,8.56,-0.294,13.2,2640,7.08,3933.6
71,2018-10-25,NASDAQ:MEDP,Close,57.87,-0.294,1.95,390,50.02,-3057.6
72,2018-10-26,NASDAQ:LSCC,Buy,6.16,-3.006,19.04,3808,0.0,0.0
73,2018-10-26,NASDAQ:MEDP,Sell,47.74,-3.006,2.455,491,0.0,0.0
74,2018-11-16,NASDAQ:LSCC,Timeout,6.16,-0.806,19.04,3808,5.79,-1389.92
75,2018-11-16,NASDAQ:MEDP,Timeout,47.74,-0.806,2.455,491,55.45,-3780.7
76,2018-11-30,NASDAQ:LSCC,Buy,5.87,-2.372,15.555,3111,0.0,0.0
77,2018-11-30,NASDAQ:MEDP,Sell,61.9,-2.372,1.47,294,0.0,0.0
78,2018-12-04,NASDAQ:LSCC,Close,5.87,0.834,15.555,3111,6.5,1991.04
79,2018-12-04,NASDAQ:MEDP,Close,61.9,0.834,1.47,294,61.41,147.0
80,2018-12-06,NASDAQ:LSCC,Sell,6.99,3.759,14.565,2913,0.0,0.0
81,2018-12-06,NASDAQ:MEDP,Buy,59.68,3.759,1.705,341,0.0,0.0
82,2018-12-27,NASDAQ:LSCC,Timeout,6.99,0.93,14.565,2913,6.81,495.21
83,2018-12-27,NASDAQ:MEDP,Timeout,59.68,0.93,1.705,341,52.25,-2530.22
84,2019-01-15,NASDAQ:LSCC,Buy,7.25,-2.178,12.6,2520,0.0,0.0
85,2019-01-15,NASDAQ:MEDP,Sell,60.46,-2.178,1.51,302,0.0,0.0
86,2019-01-25,NASDAQ:LSCC,Close,7.25,0.317,12.6,2520,7.78,1310.4
87,2019-01-25,NASDAQ:MEDP,Close,60.46,0.317,1.51,302,61.22,-226.5
88,2019-02-04,NASDAQ:LSCC,Buy,7.81,-2.486,12.37,2474,0.0,0.0
89,2019-02-04,NASDAQ:MEDP,Sell,67.7,-2.486,1.425,285,0.0,0.0
90,2019-02-07,NASDAQ:LSCC,Close,7.81,0.255,12.37,2474,7.9,197.92
91,2019-02-07,NASDAQ:MEDP,Close,67.7,0.255,1.425,285,64.69,857.85
92,2019-02-13,NASDAQ:LSCC,Sell,10.59,11.203,9.61,1922,0.0,0.0
93,2019-02-13,NASDAQ:MEDP,Buy,67.09,11.203,1.515,303,0.0,0.0
94,2019-03-06,NASDAQ:LSCC,Timeout,10.59,1.829,9.61,1922,12.62,-3882.44
95,2019-03-06,NASDAQ:MEDP,Timeout,67.09,1.829,1.515,303,52.16,-4523.79
96,2019-03-28,NASDAQ:LSCC,Buy,11.75,-2.227,5.08,1016,0.0,0.0
97,2019-03-28,NASDAQ:MEDP,Sell,58.3,-2.227,1.02,204,0.0,0.0
98,2019-04-10,NASDAQ:LSCC,Close,11.75,0.327,5.08,1016,13.21,1483.36
99,2019-04-10,NASDAQ:MEDP,Close,58.3,0.327,1.02,204,60.0,-344.76
100,2019-04-16,NASDAQ:LSCC,Sell,13.04,2.598,5.005,1001,0.0,0.0
101,2019-04-16,NASDAQ:MEDP,Buy,56.25,2.598,1.16,232,0.0,0.0
102,2019-04-26,NASDAQ:LSCC,Close,13.04,-0.151,5.005,1001,12.79,260.26
103,2019-04-26,NASDAQ:MEDP,Close,56.25,-0.151,1.16,232,58.7,570.72
104,2019-05-01,NASDAQ:LSCC,Sell,13.48,2.112,5.145,1029,0.0,0.0
105,2019-05-01,NASDAQ:MEDP,Buy,55.66,2.112,1.245,249,0.0,0.0
106,2019-05-17,NASDAQ:LSCC,Close,13.48,-1.276,5.145,1029,12.34,1183.35
107,2019-05-17,NASDAQ:MEDP,Close,55.66,-1.276,1.245,249,54.98,-166.83
108,2019-05-20,NASDAQ:LSCC,Buy,11.46,-2.8,6.495,1299,0.0,0.0
